insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
34029,belarga,34230,belarga,43.553938894,3.499355887,hérault,34,occitanie,Occitanie
81012,andillac,81140,andillac,44.005098265,1.893601408,tarn,81,occitanie,Occitanie
34032,beziers,34500,beziers,43.347466978,3.230859725,hérault,34,occitanie,Occitanie
81015,appelle,81700,appelle,43.580592538,1.954058893,tarn,81,occitanie,Occitanie
34033,boisseron,34160,boisseron,43.752449924,4.075940568,hérault,34,occitanie,Occitanie
81020,aussac,81600,aussac,43.863411959,2.038670884,tarn,81,occitanie,Occitanie
34035,la boissiere,34150,la boissiere,43.654138489,3.644091149,hérault,34,occitanie,Occitanie
81021,aussillon,81200,aussillon,43.49412169,2.355496678,tarn,81,occitanie,Occitanie
34052,capestang,34310,capestang,43.321894366,3.048051142,hérault,34,occitanie,Occitanie
81026,bellegarde marsal,81430,bellegarde marsal,43.914404252,2.280501513,tarn,81,occitanie,Occitanie
34061,causses et veyran,34490,causses et veyran,43.468122358,3.091318538,hérault,34,occitanie,Occitanie
81031,le bez,81260,le bez,43.622264294,2.45287161,tarn,81,occitanie,Occitanie
34070,cebazan,34360,cebazan,43.40549152,2.988287853,hérault,34,occitanie,Occitanie
81038,brens,81600,brens,43.888062986,1.92988849,tarn,81,occitanie,Occitanie
34077,clapiers,34830,clapiers,43.661952364,3.886581534,hérault,34,occitanie,Occitanie
81044,cabanes,81500,cabanes,43.716259834,1.95026784,tarn,81,occitanie,Occitanie
34078,claret,34270,claret,43.857252813,3.876855727,hérault,34,occitanie,Occitanie
81049,cahuzac,81540,cahuzac,43.476451495,2.081050943,tarn,81,occitanie,Occitanie
34100,ferrieres poussarou,34360,ferrieres poussarou,43.483199123,2.903422088,hérault,34,occitanie,Occitanie
81059,carlus,81990,carlus,43.888161349,2.104952503,tarn,81,occitanie,Occitanie
34101,florensac,34510,florensac,43.385621713,3.463982673,hérault,34,occitanie,Occitanie
81060,carmaux,81400,carmaux,44.056277162,2.166510418,tarn,81,occitanie,Occitanie
34104,fos,34320,fos,43.568191913,3.24177724,hérault,34,occitanie,Occitanie
81067,cestayrols,81150,cestayrols,43.982836416,1.987415826,tarn,81,occitanie,Occitanie
34108,frontignan,34110,frontignan,43.44813198,3.749580097,hérault,34,occitanie,Occitanie
81068,combefa,81640,combefa,44.049837919,2.094410413,tarn,81,occitanie,Occitanie
34116,grabels,34790,grabels,43.650511569,3.793954261,hérault,34,occitanie,Occitanie
81069,cordes sur ciel,81170,cordes sur ciel,44.068486202,1.954457228,tarn,81,occitanie,Occitanie
