insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
41229,st romain sur cher,41140,st romain sur cher,47.318832223,1.386605605,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18179,pigny,18110,pigny,47.163569855,2.443789231,cher,18,centre-val de loire,Centre-Val de Loire
45260,ramoulu,45300,ramoulu,48.229068527,2.3055572250000003,loiret,45,centre-val de loire,Centre-Val de Loire
41231,st viatre,41210,st viatre,47.5147775,1.933509162,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18181,plou,18290,plou,47.031814294,2.148412916,cher,18,centre-val de loire,Centre-Val de Loire
45261,rebrechien,45470,rebrechien,47.993782289,2.024164088,loiret,45,centre-val de loire,Centre-Val de Loire
41232,salbris,41300,salbris,47.413260376,2.044918535,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18182,poisieux,18290,poisieux,47.031860199,2.089370917,cher,18,centre-val de loire,Centre-Val de Loire
45268,st aignan le jaillard,45600,st aignan le jaillard,47.733049011,2.422647802,loiret,45,centre-val de loire,Centre-Val de Loire
41234,santenay,41190,santenay,47.565524162,1.101614121,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18193,rezay,18170,rezay,46.672687356,2.174904113,cher,18,centre-val de loire,Centre-Val de Loire
45285,st jean de la ruelle,45140,st jean de la ruelle,47.911831045,1.871132178,loiret,45,centre-val de loire,Centre-Val de Loire
41235,sarge sur braye,41170,sarge sur braye,47.928292231,0.86406503,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18206,st eloy de gy,18110,st eloy de gy,47.169709071,2.330638592,cher,18,centre-val de loire,Centre-Val de Loire
45288,st loup des vignes,45340,st loup des vignes,48.041303753,2.4277201120000003,loiret,45,centre-val de loire,Centre-Val de Loire
41237,sassay,41700,sassay,47.392839939,1.446260732,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18210,st georges sur la pree,18100,st georges sur la pree,47.220067466,1.949439518,cher,18,centre-val de loire,Centre-Val de Loire
45290,st martin d abbat,45110,st martin d abbat,47.881209268,2.305260715,loiret,45,centre-val de loire,Centre-Val de Loire
41238,savigny sur braye,41360,savigny sur braye,47.869933952,0.831353902,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18215,st hilaire de gondilly,18320,st hilaire de gondilly,47.023191614,2.902608259,cher,18,centre-val de loire,Centre-Val de Loire
45292,st maurice sur aveyron,45230,st maurice sur aveyron,47.846712404,2.960594017,loiret,45,centre-val de loire,Centre-Val de Loire
41247,soings en sologne,41230,soings en sologne,47.411406127,1.528294222,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18215,st hilaire de gondilly,18350,st hilaire de gondilly,47.023191614,2.902608259,cher,18,centre-val de loire,Centre-Val de Loire
45297,st pere sur loire,45600,st pere sur loire,47.780194883,2.37293899,loiret,45,centre-val de loire,Centre-Val de Loire
41248,couetron au perche,41170,couetron au perche,48.056107115,0.893836646,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18217,st jeanvrin,18370,st jeanvrin,46.596362385,2.242277055,cher,18,centre-val de loire,Centre-Val de Loire
45302,saran,45770,saran,47.949642805,1.877999033,loiret,45,centre-val de loire,Centre-Val de Loire
41251,souvigny en sologne,41600,souvigny en sologne,47.649640946,2.167596561,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18224,st martin des champs,18140,st martin des champs,47.173340219,2.934982474,cher,18,centre-val de loire,Centre-Val de Loire
45305,seichebrieres,45530,seichebrieres,47.981969932,2.274675929,loiret,45,centre-val de loire,Centre-Val de Loire
41265,troo,41800,troo,47.788975235,0.778616109,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18227,ste montaine,18700,ste montaine,47.501499254,2.321586651,cher,18,centre-val de loire,Centre-Val de Loire
45307,la selle sur le bied,45210,la selle sur le bied,48.073570289,2.896298976,loiret,45,centre-val de loire,Centre-Val de Loire
41267,vallieres les grandes,41400,vallieres les grandes,47.410953891,1.147526653,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18230,st pierre les bois,18170,st pierre les bois,46.671947442,2.283600581,cher,18,centre-val de loire,Centre-Val de Loire
45313,sougy,45410,sougy,48.058235517,1.801485542,loiret,45,centre-val de loire,Centre-Val de Loire
41273,vievy le raye,41290,vievy le raye,47.871860562,1.297968296,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18231,st pierre les etieux,18210,st pierre les etieux,46.734455752,2.593387934,cher,18,centre-val de loire,Centre-Val de Loire
45314,sully la chapelle,45450,sully la chapelle,47.983769251,2.168846088,loiret,45,centre-val de loire,Centre-Val de Loire
41279,villedieu le chateau,41800,villedieu le chateau,47.714394358,0.640273186,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18232,st priest la marche,18370,st priest la marche,46.448777157,2.184667668,cher,18,centre-val de loire,Centre-Val de Loire
45323,thou,45420,thou,47.580367936,2.896209965,loiret,45,centre-val de loire,Centre-Val de Loire
41281,villefrancoeur,41330,villefrancoeur,47.696559713,1.203072188,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18236,st symphorien,18190,st symphorien,46.808060472,2.304475649,cher,18,centre-val de loire,Centre-Val de Loire
45327,trainou,45470,trainou,47.965432411,2.103743218,loiret,45,centre-val de loire,Centre-Val de Loire
41286,villeporcher,41310,villeporcher,47.644552375,0.986126732,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18237,ste thorette,18500,ste thorette,47.077858385,2.206744437,cher,18,centre-val de loire,Centre-Val de Loire
45330,trinay,45410,trinay,48.084261842,1.952583705,loiret,45,centre-val de loire,Centre-Val de Loire
41288,villerbon,41000,villerbon,47.664296274,1.356910588,loir-et-cher,41,centre-val de loire,Centre-Val de Loire
18242,sancoins,18600,sancoins,46.82453929,2.913807751,cher,18,centre-val de loire,Centre-Val de Loire
45332,varennes changy,45290,varennes changy,47.862346698,2.663648994,loiret,45,centre-val de loire,Centre-Val de Loire
18243,santranges,18240,santranges,47.502576755,2.7593206290000003,cher,18,centre-val de loire,Centre-Val de Loire
